ID_OREGANO:6060	SIDER	NAME
SIDE_EFFECT:222	C0151604	Oedema genital
SIDE_EFFECT:223	C0151827	Eye pain
SIDE_EFFECT:224	C0151907	Skin discolouration
SIDE_EFFECT:225	C0232292	Chest tightness
SIDE_EFFECT:226	C0235710	Chest discomfort
SIDE_EFFECT:227	C0236082	Vaginal pain
SIDE_EFFECT:228	C0520588	Vulvovaginal pain
SIDE_EFFECT:229	C0262397	Breast tenderness
SIDE_EFFECT:230	C0269806	Failed induction of labour
SIDE_EFFECT:231	C0269842	Uterine hypertonus
SIDE_EFFECT:232	C0344232	Vision blurred
SIDE_EFFECT:233	C0392618	Postoperative infection
SIDE_EFFECT:234	C1868855	Post procedural infection
SIDE_EFFECT:235	C0410916	Death neonatal
SIDE_EFFECT:236	C0424535	Vasovagal symptoms
SIDE_EFFECT:237	C0700200	Presyncope
SIDE_EFFECT:238	C0558368	Vaginal irritation
SIDE_EFFECT:239	C0520587	Vulvovaginal discomfort
SIDE_EFFECT:240	C0595939	Stillbirth
SIDE_EFFECT:241	C0600142	Hot flush
SIDE_EFFECT:242	C0236075	Menopausal symptoms
SIDE_EFFECT:243	C0700590	Sweating increased
SIDE_EFFECT:244	C0020458	Hyperhidrosis
SIDE_EFFECT:245	C1384666	Hearing impaired
SIDE_EFFECT:246	C0011053	Deafness
SIDE_EFFECT:247	C2004487	Vaginismus
SIDE_EFFECT:248	C0003864	Arthritis
SIDE_EFFECT:249	C0003962	Ascites
SIDE_EFFECT:250	C0007642	Cellulitis
SIDE_EFFECT:251	C0007859	Neck pain
SIDE_EFFECT:252	C0009326	Collagen disorder
SIDE_EFFECT:253	C0009782	Connective tissue disorder
SIDE_EFFECT:254	C0010520	Cyanosis
SIDE_EFFECT:255	C0013595	Eczema
SIDE_EFFECT:256	C0014130	Endocrine disorder
SIDE_EFFECT:257	C0014591	Epistaxis
SIDE_EFFECT:258	C0016204	Flatulence
SIDE_EFFECT:259	C0018801	Cardiac failure
SIDE_EFFECT:260	C0018965	Haematuria
SIDE_EFFECT:261	C0019123	Haemothorax
SIDE_EFFECT:262	C0020532	Hypersplenism
SIDE_EFFECT:263	C0020550	Hyperthyroidism
SIDE_EFFECT:264	C0020651	Orthostatic hypotension
SIDE_EFFECT:265	C0025061	Mediastinal disorder
SIDE_EFFECT:266	C0026858	Musculoskeletal pain
SIDE_EFFECT:267	C0030232	Pallor
SIDE_EFFECT:268	C0030312	Pancytopenia
SIDE_EFFECT:269	C0032227	Pleural effusion
SIDE_EFFECT:270	C0032285	Pneumonia
SIDE_EFFECT:271	C0032326	Pneumothorax
SIDE_EFFECT:272	C0034063	Pulmonary oedema
SIDE_EFFECT:273	C0034065	Pulmonary embolism
SIDE_EFFECT:274	C0036690	Septicemia
SIDE_EFFECT:275	C0243026	Sepsis
SIDE_EFFECT:276	C0037299	Skin ulcer
SIDE_EFFECT:277	C0038002	Splenomegaly
SIDE_EFFECT:278	C0038990	Sweating
SIDE_EFFECT:279	C0039971	Thirst
SIDE_EFFECT:280	C0042401	Vasodilation
SIDE_EFFECT:281	C1142412	Vasodilation procedure
SIDE_EFFECT:282	C0043352	Dry mouth
SIDE_EFFECT:283	C0085096	Peripheral vascular disorder
SIDE_EFFECT:284	C0085605	Hepatic failure
SIDE_EFFECT:285	C0085631	Agitation
SIDE_EFFECT:286	C0086525	Lassitude
SIDE_EFFECT:287	C0232487	Abdominal discomfort
SIDE_EFFECT:288	C0232488	Abdominal colic
SIDE_EFFECT:289	C0235527	Cardiac failure right
SIDE_EFFECT:290	C2939447	Right ventricular failure
SIDE_EFFECT:291	C0236000	Pain in jaw
SIDE_EFFECT:292	C0242184	Hypoxia
SIDE_EFFECT:293	C0267596	Rectal haemorrhage
SIDE_EFFECT:294	C0270458	Psychotic depression
SIDE_EFFECT:295	C1269683	Major depression
SIDE_EFFECT:296	C0392025	Enlargement abdomen
SIDE_EFFECT:297	C0000731	Abdominal distension
SIDE_EFFECT:298	C0392171	Influenza-like symptoms
SIDE_EFFECT:299	C0521839	Influenza like illness
SIDE_EFFECT:300	C0392386	Platelet count decreased
SIDE_EFFECT:301	C0424295	Hyperkinesia
SIDE_EFFECT:302	C0428977	Bradycardia
SIDE_EFFECT:303	C0521491	Application site pain
SIDE_EFFECT:304	C0858797	Instillation site pain
SIDE_EFFECT:305	C0860239	Catheter related infection
SIDE_EFFECT:306	C1619702	Device related infection
SIDE_EFFECT:307	C1141861	Procedural complication
SIDE_EFFECT:308	C1285577	Acute confusional state
SIDE_EFFECT:309	C2830004	Somnolence
SIDE_EFFECT:310	C0002631	Amniotic cavity infection
SIDE_EFFECT:311	C0015944	Premature rupture of membranes
SIDE_EFFECT:312	C0410959	Foetal acidosis
SIDE_EFFECT:313	C0001122	Acidosis
SIDE_EFFECT:314	C0020488	Hypernatraemia
SIDE_EFFECT:315	C0010037	Corneal oedema
SIDE_EFFECT:316	C0010038	Corneal opacity
SIDE_EFFECT:317	C0948284	Corneal decompensation
SIDE_EFFECT:318	C0003578	Apnoea
SIDE_EFFECT:319	C0004245	Atrioventricular block
SIDE_EFFECT:320	C0013144	Drowsiness
SIDE_EFFECT:321	C0020578	Hyperventilation
SIDE_EFFECT:322	C0027424	Nasal congestion
SIDE_EFFECT:323	C0028643	Numbness
SIDE_EFFECT:324	C0278134	Sensory loss
SIDE_EFFECT:325	C0033036	Supraventricular extrasystoles
SIDE_EFFECT:326	C0036454	Scotoma
SIDE_EFFECT:327	C0037188	Sinoatrial block
SIDE_EFFECT:328	C2747891	Device capturing issue
SIDE_EFFECT:329	C0038454	Cerebrovascular accident
SIDE_EFFECT:330	C0039239	Sinus tachycardia
SIDE_EFFECT:331	C0040264	Tinnitus
SIDE_EFFECT:332	C0040479	Torsade de pointes
SIDE_EFFECT:333	C0042510	Ventricular fibrillation
SIDE_EFFECT:334	C0042514	Ventricular tachycardia
SIDE_EFFECT:335	C0085606	Micturition urgency
SIDE_EFFECT:336	C0042023	Pollakiuria
SIDE_EFFECT:337	C0085612	Ventricular arrhythmia
SIDE_EFFECT:338	C0085614	Atrioventricular block first degree
SIDE_EFFECT:339	C0085624	Burning sensation
SIDE_EFFECT:340	C0085633	Mood swings
SIDE_EFFECT:341	C0233472	Affect lability
SIDE_EFFECT:342	C0151517	Atrioventricular block complete
SIDE_EFFECT:343	C0151636	Ventricular extrasystoles
SIDE_EFFECT:344	C0151699	Haemorrhage intracranial
SIDE_EFFECT:345	C0151740	Intracranial pressure increased
SIDE_EFFECT:346	C0151744	Myocardial ischaemia
SIDE_EFFECT:347	C0162297	Respiratory arrest
SIDE_EFFECT:348	C0220870	Lightheadedness
SIDE_EFFECT:349	C0232124	Skipped beats
SIDE_EFFECT:350	C0340464	Extrasystoles
SIDE_EFFECT:351	C0233485	Apprehension
SIDE_EFFECT:352	C0235004	Head pressure
SIDE_EFFECT:353	C0235169	Excitability
SIDE_EFFECT:354	C0235706	Back distress
SIDE_EFFECT:355	C0236071	Throat tightness
SIDE_EFFECT:356	C0240327	Taste metallic
SIDE_EFFECT:357	C0264906	Atrioventricular block second degree
SIDE_EFFECT:358	C0438716	Chest pressure
SIDE_EFFECT:359	C0494475	Tonic-clonic seizures
SIDE_EFFECT:360	C0014549	Grand mal convulsion
SIDE_EFFECT:361	C0497247	Blood pressure increased
SIDE_EFFECT:362	C0520886	Electrocardiogram ST segment elevation
SIDE_EFFECT:363	C0520887	Electrocardiogram ST segment depression
SIDE_EFFECT:364	C0541782	Sinus arrest
SIDE_EFFECT:365	C0750194	Non-sustained ventricular tachycardia
SIDE_EFFECT:366	C0854303	Limb discomfort
SIDE_EFFECT:367	C0857153	Nodal block
SIDE_EFFECT:368	C0858924	General discomfort
SIDE_EFFECT:369	C0948296	Ear discomfort
SIDE_EFFECT:370	C1096250	Gastrointestinal discomfort
SIDE_EFFECT:371	C1956346	Coronary artery disease
SIDE_EFFECT:372	C2242996	Tingling sensation
SIDE_EFFECT:373	C0000833	Abscess
SIDE_EFFECT:374	C0007682	Central nervous system disorder
SIDE_EFFECT:375	C0009421	Coma
SIDE_EFFECT:376	C0018802	Cardiac failure congestive
SIDE_EFFECT:377	C0019054	Haemolysis
SIDE_EFFECT:378	C0020621	Hypokalaemia
SIDE_EFFECT:379	C0022107	Irritability
SIDE_EFFECT:380	C0027540	Necrosis
SIDE_EFFECT:381	C0031542	Phlebitis
SIDE_EFFECT:382	C0036104	Salivation
SIDE_EFFECT:383	C0037036	Salivary hypersecretion
SIDE_EFFECT:384	C0040046	Thrombophlebitis
SIDE_EFFECT:385	C0042487	Venous thrombosis
SIDE_EFFECT:386	C0423153	Lacrimation
SIDE_EFFECT:387	C0152227	Lacrimation increased
SIDE_EFFECT:388	C0542203	Water retention
SIDE_EFFECT:389	C0268000	Fluid retention
SIDE_EFFECT:390	C0002884	Hypochromic anaemia
SIDE_EFFECT:391	C0003460	Anuria
SIDE_EFFECT:392	C0004690	Balanitis
SIDE_EFFECT:393	C0012691	Joint dislocation
SIDE_EFFECT:394	C0013491	Ecchymosis
SIDE_EFFECT:395	C0016059	Fibrosis
SIDE_EFFECT:396	C0016658	Fracture
SIDE_EFFECT:397	C0016655	Multiple fractures
SIDE_EFFECT:398	C0018944	Haematoma
SIDE_EFFECT:399	C0019294	Inguinal hernia
SIDE_EFFECT:400	C0020433	Hyperbilirubinaemia
SIDE_EFFECT:401	C0020440	Hypercapnia
SIDE_EFFECT:402	C0860713	Carbon dioxide increased
SIDE_EFFECT:403	C0020443	Hypercholesterolaemia
SIDE_EFFECT:404	C0020452	Hyperaemia
SIDE_EFFECT:405	C0020456	Hyperglycaemia
SIDE_EFFECT:406	C0020557	Hypertriglyceridaemia
SIDE_EFFECT:407	C0853692	Blood triglycerides increased
SIDE_EFFECT:408	C0020564	Hypertrophy
SIDE_EFFECT:409	C0020615	Hypoglycaemia
SIDE_EFFECT:410	C0020672	Body temperature decreased
SIDE_EFFECT:411	C0413252	Hypothermia
SIDE_EFFECT:412	C0023222	Leg pain
SIDE_EFFECT:413	C0030196	Pain in extremity
SIDE_EFFECT:414	C0026961	Mydriasis
SIDE_EFFECT:415	C0028259	Nodule
SIDE_EFFECT:416	C0030794	Pelvic pain
SIDE_EFFECT:417	C0030846	Penis disorder
SIDE_EFFECT:418	C0030848	Peyronie's disease
SIDE_EFFECT:419	C0031154	Peritonitis
SIDE_EFFECT:420	C0031538	Tight foreskin
SIDE_EFFECT:421	C0345326	Phimosis
SIDE_EFFECT:422	C0032319	Pneumopericardium
SIDE_EFFECT:423	C0033117	Priapism
SIDE_EFFECT:424	C0033575	Prostatic disorder
SIDE_EFFECT:425	C0033581	Prostatitis
SIDE_EFFECT:426	C0036679	Separation
SIDE_EFFECT:427	C1619718	Partner stress
SIDE_EFFECT:428	C0037286	Neoplasm skin
SIDE_EFFECT:429	C0037859	Spermatocele
SIDE_EFFECT:430	C0038999	Swelling
SIDE_EFFECT:431	C0039240	Supraventricular tachycardia
SIDE_EFFECT:432	C0039242	Tachyphylaxis
SIDE_EFFECT:433	C0039584	Testicular disorder
SIDE_EFFECT:434	C0039591	Testicular pain
SIDE_EFFECT:435	C0041912	Upper respiratory tract infection
SIDE_EFFECT:436	C0041969	Urethral disorder
SIDE_EFFECT:437	C0043246	Laceration
SIDE_EFFECT:438	C0043251	Trauma
SIDE_EFFECT:439	C0151605	Injection site swelling
SIDE_EFFECT:440	C0151609	Scrotal oedema
SIDE_EFFECT:441	C0151698	Injection site haemorrhage
SIDE_EFFECT:442	C0151734	Injection site inflammation
SIDE_EFFECT:443	C0156308	Penile oedema
SIDE_EFFECT:444	C0178703	Hypertrophic osteoarthropathy
SIDE_EFFECT:445	C0231451	Joint hyperextension
SIDE_EFFECT:446	C0231835	Tachypnoea
SIDE_EFFECT:447	C0231837	Respiratory rate decreased
SIDE_EFFECT:448	C0233973	Painful erection
SIDE_EFFECT:449	C0235063	Respiratory depression
SIDE_EFFECT:450	C0855775	Pulmonary function test decreased
SIDE_EFFECT:451	C0235129	Feeling strange
SIDE_EFFECT:452	C0236083	Burning feeling vagina
SIDE_EFFECT:453	C1963790	Vulvovaginal burning sensation
SIDE_EFFECT:454	C0240717	Perineal pain
SIDE_EFFECT:455	C0241558	Urethral haemorrhage
SIDE_EFFECT:456	C0241863	Diabetic
SIDE_EFFECT:457	C0011849	Diabetes mellitus
SIDE_EFFECT:458	C0268919	Scrotal disorder
SIDE_EFFECT:459	C0332575	Redness
SIDE_EFFECT:460	C0340279	Ventricular hypertrophy
SIDE_EFFECT:461	C0427008	Stiffness
SIDE_EFFECT:462	C0476273	Respiratory distress
SIDE_EFFECT:463	C0497481	Penile pain
SIDE_EFFECT:464	C0518988	Tooth abscess
SIDE_EFFECT:465	C0520962	Pain localised
SIDE_EFFECT:466	C0521508	Injection site bruising
SIDE_EFFECT:467	C0521845	Drug effect decreased
SIDE_EFFECT:468	C0522061	Abdominal pain localised
SIDE_EFFECT:469	C0542008	Injection site haematoma
SIDE_EFFECT:470	C0549209	Feeling jittery
SIDE_EFFECT:471	C0750466	Yeast infection
SIDE_EFFECT:472	C0026946	Fungal infection
SIDE_EFFECT:473	C0852908	Drug ineffective
SIDE_EFFECT:474	C0852995	Injection site pruritus
SIDE_EFFECT:475	C0853714	Application site pruritus
SIDE_EFFECT:476	C0853813	Local reaction
SIDE_EFFECT:477	C0863113	Hypotension symptomatic
SIDE_EFFECT:478	C0877267	Peritonsillitis
SIDE_EFFECT:479	C0877377	Skin tear
SIDE_EFFECT:480	C0948873	Flu symptoms
SIDE_EFFECT:481	C1504465	Device malfunction
SIDE_EFFECT:482	C2004489	Regurgitation
SIDE_EFFECT:483	C2242621	Erection prolonged
SIDE_EFFECT:484	C0541941	Erection increased
SIDE_EFFECT:485	C2937350	Abnormal ejaculation
SIDE_EFFECT:486	C0235969	Ejaculation disorder
SIDE_EFFECT:487	C2937358	Cerebral haemorrhage
SIDE_EFFECT:488	C2938970	Penile curvature
SIDE_EFFECT:489	C2938972	Penile haematoma
SIDE_EFFECT:490	C3665386	Abnormal vision
SIDE_EFFECT:491	C3665347	Visual impairment
SIDE_EFFECT:492	C0005411	Atresia biliary
SIDE_EFFECT:493	C0266241	Congenital absence of bile ducts
SIDE_EFFECT:494	C0025958	Microcephaly
SIDE_EFFECT:495	C0002895	Sickle cell anaemia
SIDE_EFFECT:496	C0006114	Edema cerebral
SIDE_EFFECT:497	C0008301	Choking
SIDE_EFFECT:498	C0027429	Nasal obstruction
SIDE_EFFECT:499	C0151799	Skin necrosis
SIDE_EFFECT:500	C0221201	Rash macular
SIDE_EFFECT:501	C0549433	Surgical intervention
SIDE_EFFECT:502	C0543467	Surgery
SIDE_EFFECT:503	C0750876	Phlebitis superficial
SIDE_EFFECT:504	C1168149	Perioral tingling
SIDE_EFFECT:505	C0521591	Paraesthesia oral
SIDE_EFFECT:506	C0034212	Pyoderma
SIDE_EFFECT:507	C1323189	Dermatitis infected
SIDE_EFFECT:508	C0221244	Dandruff
SIDE_EFFECT:509	C0234943	Application site anaesthesia
SIDE_EFFECT:510	C0235266	Eye irritation
SIDE_EFFECT:511	C0521495	Application site rash
SIDE_EFFECT:512	C0701836	Thermal burn
SIDE_EFFECT:513	C0877098	Application site dryness
SIDE_EFFECT:514	C1142498	Application site excoriation
SIDE_EFFECT:515	C1696574	Application site erosion
SIDE_EFFECT:516	C0017675	Glossitis
SIDE_EFFECT:517	C0019880	Homocystinuria
SIDE_EFFECT:518	C0031212	Personality disorder
SIDE_EFFECT:519	C0037317	Sleep disturbance
SIDE_EFFECT:520	C0851578	Sleep disorder
SIDE_EFFECT:521	C0040435	Tooth disorder
SIDE_EFFECT:522	C0042024	Urinary incontinence
SIDE_EFFECT:523	C0042075	Urinary tract disorder
SIDE_EFFECT:524	C0162429	Malnutrition
SIDE_EFFECT:525	C0235309	Upset stomach
SIDE_EFFECT:526	C0268621	Hypermethioninaemia
SIDE_EFFECT:527	C0541799	Bad taste
SIDE_EFFECT:528	C0548823	Distress gastrointestinal
SIDE_EFFECT:529	C0700198	Aspiration
SIDE_EFFECT:530	C0006663	Calcinosis
SIDE_EFFECT:531	C0011206	Delirium
SIDE_EFFECT:532	C0085618	Venospasm
SIDE_EFFECT:533	C0085616	Vasospasm
SIDE_EFFECT:534	C0085628	Stupor
SIDE_EFFECT:535	C0549249	Depressed level of consciousness
SIDE_EFFECT:536	C0522171	Sense of oppression
