ID_OREGANO:171	NAME_DRUGBANK
EFFECT:3	 bleeding and bruising 
EFFECT:30	 hyponatremia 
EFFECT:31	 hypertension 
EFFECT:32	 hyponatremia and water intoxication 
EFFECT:33	 hypertension, hyponatremia, and water intoxication 
EFFECT:34	 orthostatic hypotension and syncope 
EFFECT:35	 hypotension and orthostatic hypotension 
EFFECT:36	 hypotension 
EFFECT:37	 respiratory depression 
EFFECT:38	 CNS depression 
EFFECT:39	 sedation 
EFFECT:4	 bleeding 
EFFECT:40	 hypotension, sedation, death, somnolence, and respiratory depression 
EFFECT:41	 neuropsychiatric effects 
EFFECT:42	 bleeding and thrombocytopenia 
EFFECT:43	 water intoxication 
EFFECT:44	 myopathy 
EFFECT:45	 increased transaminases 
EFFECT:46	 neuromuscular blockade 
EFFECT:47	 myopathy and weakness 
EFFECT:48	 nephrotoxicity 
EFFECT:49	 renal failure 
EFFECT:5	 adverse effects 
EFFECT:50	 Hypertrichosis 
EFFECT:51	 hyperkalemia 
EFFECT:52	 renal failure and hypertension 
EFFECT:53	 nephrotoxicity and hypocalcemia 
EFFECT:54	 seizure 
EFFECT:55	 gouty arthritis 
EFFECT:56	 hypotension, bradycardia, and Cardiac Arrhythmia 
EFFECT:57	 jaw osteonecrosis and anti-angiogenesis 
EFFECT:58	 Cardiovascular Impairment 
EFFECT:59	 ventricular arrhythmias and Cardiac Arrhythmia 
EFFECT:6	 hemorrhage 
EFFECT:60	 hypercalcemia 
EFFECT:61	 hypokalemia 
EFFECT:62	 serotonin syndrome 
EFFECT:63	 serotonin syndrome and hypomania 
EFFECT:64	 gastrointestinal bleeding and peptic ulcer 
EFFECT:65	 renal failure, hyperkalemia, and hypertension 
EFFECT:66	 gastrointestinal irritation 
EFFECT:67	 pseudotumor cerebri 
EFFECT:68	 cytotoxicity 
EFFECT:69	 rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) 
EFFECT:7	 Thrombosis 
EFFECT:70	 myopathy and rhabdomyolysis 
EFFECT:71	 increased glucose 
EFFECT:72	 rhabdomyolysis 
EFFECT:73	 extrapyramidal symptoms 
EFFECT:74	 hypotension, hyperkalemia, and reduced intravascular volume 
EFFECT:75	 renal failure, hypotension, and hyperkalemia 
EFFECT:76	 renal failure and hypotension 
EFFECT:77	 orthostatic hypotension and dizziness 
EFFECT:78	 hypotension, hyperkalemia, and nephrotoxicity 
EFFECT:79	 myelosuppression, anemia, and severe leukopenia 
EFFECT:8	 methemoglobinemia 
EFFECT:80	 hypotension, nitritoid reactions, facial flushing, nausea, and vomiting 
EFFECT:81	 lactic acidosis 
EFFECT:82	 gastrointestinal ulceration and gastrointestinal irritation 
EFFECT:83	 ulceration 
EFFECT:84	 tendinopathy 
EFFECT:85	 fluid retention 
EFFECT:86	 edema formation 
EFFECT:87	 electrolyte imbalance 
EFFECT:88	 CNS depression and hypotonia 
EFFECT:89	 hyperkinetic symptoms 
EFFECT:9	 infection 
EFFECT:90	 Tachycardia 
EFFECT:91	 sedation and somnolence 
EFFECT:92	 congestive heart failure and hypotension 
EFFECT:93	 hypersensitivity reaction 
EFFECT:94	 hypertension and tardive dyskinesia 
EFFECT:95	 serotonin syndrome and seizure 
EFFECT:96	 urinary retention 
EFFECT:97	 gastrointestinal ulceration 
EFFECT:98	 reduced gastrointestinal motility 
EFFECT:99	 hyperthermia and oligohydrosis 
